problem_type,Regime,defect_type,steel_type,Название СС,Dout,t,T,p,Nz,Mx,My,dva_c_max
ППН,НУЭ,Кольцевой дефект,Сталь 20,208,0.273,0.016,285,6900000.0,10000.0,6940.0,-13507.0,0.4288273972150068
ППН,НУЭ,Кольцевой дефект,Сталь 20,210,0.273,0.016,285,6900000.0,12000.0,-4112.0,-6554.0,0.4288273972150068
ППН,НУЭ,Кольцевой дефект,Сталь 20,227,0.273,0.016,285,6900000.0,12000.0,5841.0,-4882.0,0.4288273972150068
ППН,НУЭ+МРЗ,Кольцевой дефект,Сталь 20,208,0.273,0.016,285,6900000.0,13700.0,10130.0,19247.0,0.4288273972150068
ППН,НУЭ+МРЗ,Кольцевой дефект,Сталь 20,210,0.273,0.016,285,6900000.0,18600.0,6452.0,8754.000000000002,0.4288273972150068
ППН,НУЭ+МРЗ,Кольцевой дефект,Сталь 20,227,0.273,0.016,285,6900000.0,15900.0,7881.0,7661.999999999999,0.4288273972150068
ППН,НУЭ,Кольцевой дефект,Сталь 20,32,0.325,0.019,285,6900000.0,13835.0,5973.0,3996.0,0.5105088062083414
ППН,НУЭ,Кольцевой дефект,Сталь 20,6,0.325,0.019,285,6900000.0,18070.0,-8157.0,-728.0,0.5105088062083414
ППН,НУЭ,Кольцевой дефект,Сталь 20,445,0.325,0.019,285,6900000.0,18545.0,1147.0,-4866.0,0.5105088062083414
ППН,НУЭ+МРЗ,Кольцевой дефект,Сталь 20,32,0.325,0.019,285,6900000.0,17435.000000000004,9062.999999999998,8736.0,0.5105088062083414
ППН,НУЭ+МРЗ,Кольцевой дефект,Сталь 20,6,0.325,0.019,285,6900000.0,20070.0,11827.0,4368.0,0.5105088062083414
ППН,НУЭ+МРЗ,Кольцевой дефект,Сталь 20,445,0.325,0.019,285,6900000.0,19645.000000000004,4997.0,9556.000000000002,0.5105088062083414
ППН,НУЭ,Кольцевой дефект,Cталь 16ГС,311a,0.426,0.024,285,6900000.0,-3574.0,2289.0,-35.0,0.669159235214626
ППН,НУЭ,Кольцевой дефект,Сталь 20,311b,0.426,0.024,285,6900000.0,-1250.0,12352.0,-19076.0,0.669159235214626
ППН,НУЭ,Кольцевой дефект,Сталь 20,349a,0.426,0.024,285,6900000.0,-5130.0,-4253.0,3189.0,0.669159235214626
ППН,НУЭ+МРЗ,Кольцевой дефект,Cталь 16ГС,311a,0.426,0.024,285,6900000.0,9774.0,4239.0,3585.0,0.669159235214626
ППН,НУЭ+МРЗ,Кольцевой дефект,Сталь 20,311b,0.426,0.024,285,6900000.0,5750.0,15702.0,24816.000000000004,0.669159235214626
ППН,НУЭ+МРЗ,Кольцевой дефект,Сталь 20,349a,0.426,0.024,285,6900000.0,9430.0,19043.0,8939.0,0.669159235214626
ППН,НУЭ,Продольный дефект,Сталь 20,273,0.273,0.016,285,6900000.0,10000.0,6940.0,-13507.0,0.4288273972150068
ППН,НУЭ+МРЗ,Продольный дефект,Сталь 20,426,0.273,0.016,285,6900000.0,13700.0,10130.0,19247.0,0.4288273972150068
ЛРН,НУЭ,Кольцевой дефект,Сталь 20,208,0.273,0.016,285,6900000.0,10000.0,6940.0,-13507.0,0.4288273972150068
ЛРН,НУЭ,Кольцевой дефект,Сталь 20,210,0.273,0.016,285,6900000.0,12000.0,-4112.0,-6554.0,0.4288273972150068
ЛРН,НУЭ,Кольцевой дефект,Сталь 20,227,0.273,0.016,285,6900000.0,12000.0,5841.0,-4882.0,0.4288273972150068
ЛРН,НУЭ+МРЗ,Кольцевой дефект,Сталь 20,208,0.273,0.016,285,6900000.0,13700.0,10130.0,19247.0,0.4288273972150068
ЛРН,НУЭ+МРЗ,Кольцевой дефект,Сталь 20,210,0.273,0.016,285,6900000.0,18600.0,6452.0,8754.000000000002,0.4288273972150068
ЛРН,НУЭ+МРЗ,Кольцевой дефект,Сталь 20,227,0.273,0.016,285,6900000.0,15900.0,7881.0,7661.999999999999,0.4288273972150068
ЛРН,НУЭ,Кольцевой дефект,Сталь 20,32,0.325,0.019,285,6900000.0,13835.0,5973.0,3996.0,0.5105088062083414
ЛРН,НУЭ,Кольцевой дефект,Сталь 20,6,0.325,0.019,285,6900000.0,18070.0,-8157.0,-728.0,0.5105088062083414
ЛРН,НУЭ,Кольцевой дефект,Сталь 20,445,0.325,0.019,285,6900000.0,18545.0,1147.0,-4866.0,0.5105088062083414
ЛРН,НУЭ+МРЗ,Кольцевой дефект,Сталь 20,32,0.325,0.019,285,6900000.0,17435.000000000004,9062.999999999998,8736.0,0.5105088062083414
ЛРН,НУЭ+МРЗ,Кольцевой дефект,Сталь 20,6,0.325,0.019,285,6900000.0,20070.0,11827.0,4368.0,0.5105088062083414
ЛРН,НУЭ+МРЗ,Кольцевой дефект,Сталь 20,445,0.325,0.019,285,6900000.0,19645.000000000004,4997.0,9556.000000000002,0.5105088062083414
ЛРН,НУЭ,Кольцевой дефект,Cталь 16ГС,311a,0.426,0.024,285,6900000.0,-3574.0,2289.0,-35.0,0.669159235214626
ЛРН,НУЭ,Кольцевой дефект,Сталь 20,311b,0.426,0.024,285,6900000.0,-1250.0,12352.0,-19076.0,0.669159235214626
ЛРН,НУЭ,Кольцевой дефект,Сталь 20,349a,0.426,0.024,285,6900000.0,-5130.0,-4253.0,3189.0,0.669159235214626
ЛРН,НУЭ+МРЗ,Кольцевой дефект,Cталь 16ГС,311a,0.426,0.024,285,6900000.0,9774.0,4239.0,3585.0,0.669159235214626
ЛРН,НУЭ+МРЗ,Кольцевой дефект,Сталь 20,311b,0.426,0.024,285,6900000.0,5750.0,15702.0,24816.000000000004,0.669159235214626
ЛРН,НУЭ+МРЗ,Кольцевой дефект,Сталь 20,349a,0.426,0.024,285,6900000.0,9430.0,19043.0,8939.0,0.669159235214626
